date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
25/07/2025,R.Antwerp F.C. A,R.Union St.-Gilloise A,1,1,1500.0,1500.0,0.5,0.5,0.5,0.5,1.0,1500.0,1500.0
26/07/2025,FC.V.Dender E.H.,Cercle Brugge K.SV. A,0,0,1500.0,1500.0,0.5,0.5,0.5,0.5,1.0,1500.0,1500.0
26/07/2025,SV.Zulte Waregem A,Yellow-Red KV.Mechelen A,1,1,1500.0,1500.0,0.5,0.5,0.5,0.5,1.0,1500.0,1500.0
26/07/2025,RAAL La Louviere A,R.Standard de Liège A,0,2,1500.0,1500.0,0.5,0.5,0.0,1.0,1.625,1475.62,1524.38
27/07/2025,R.SC.Anderlecht A,K.VC.Westerlo A,5,2,1500.0,1500.0,0.5,0.5,1.0,0.0,1.75,1526.25,1473.75
27/07/2025,Oud-Heverlee Leuven A,SP du Pays de Charleroi A,2,2,1500.0,1500.0,0.5,0.5,0.5,0.5,1.0,1500.0,1500.0
27/07/2025,Club Brugge KV. A,K.RC.Genk A,2,1,1500.0,1500.0,0.5,0.5,1.0,0.0,1.0,1515.0,1485.0
27/07/2025,K.St.-Truidense VV. A,K.AA.Gent A,3,1,1500.0,1500.0,0.5,0.5,1.0,0.0,1.625,1524.38,1475.62
01/08/2025,Yellow-Red KV.Mechelen A,Club Brugge KV. A,2,1,1500.0,1515.0,0.4784,0.5216,1.0,0.0,1.0,1515.65,1499.35
02/08/2025,K.VC.Westerlo A,SV.Zulte Waregem A,3,1,1473.75,1500.0,0.4623,0.5377,1.0,0.0,1.625,1499.96,1473.79
02/08/2025,R.Standard de Liège A,FC.V.Dender E.H.,1,1,1524.38,1500.0,0.535,0.465,0.5,0.5,1.0,1523.32,1501.05
02/08/2025,K.AA.Gent A,RAAL La Louviere A,1,0,1475.62,1475.62,0.5,0.5,1.0,0.0,1.0,1490.62,1460.62
