Team,Matches,Wins,Draws,Losses,Goals For,Goals Against,Goal Diff,Points,Avg GF,Avg GA,Current ELO,Last5 Points,ELO +/- L5,ELO opp H,ELO opp A,ELO opp total,ELO opp diff HA,ELO opp diff tot,Yellow cards F,Yellow cards A
R.Union St.-Gilloise A,18,11,5,2,33,11,22,38,1.83,0.61,1631.46,6,-26.79,1492.74,1482.11,1488.31,10.63,-11.69,41,39
Club Brugge KV. A,18,11,2,5,29,18,11,35,1.61,1.0,1570.65,6,-24.92,1495.57,1497.65,1496.44,-2.08,-3.56,26,44
R.SC.Anderlecht A,18,10,4,4,25,18,7,34,1.39,1.0,1575.36,12,22.52,1436.46,1508.68,1478.59,-72.21,-21.41,42,40
K.St.-Truidense VV. A,18,10,3,5,27,22,5,33,1.5,1.22,1559.49,12,37.98,1501.1,1469.99,1485.55,31.11,-14.45,29,33
Yellow-Red KV.Mechelen A,18,8,6,4,24,20,4,30,1.33,1.11,1532.84,10,28.75,1494.18,1522.26,1508.22,-28.08,8.22,40,23
K.RC.Genk A,18,6,6,6,22,24,-2,24,1.22,1.33,1483.92,5,-32.98,1512.73,1495.84,1504.28,16.9,4.28,25,45
R.Standard de Liège A,18,7,3,8,16,21,-5,24,0.89,1.17,1486.25,7,0.6,1528.57,1489.22,1508.89,39.35,8.89,37,31
R.Antwerp F.C. A,18,6,5,7,20,18,2,23,1.11,1.0,1516.58,12,86.25,1513.31,1480.18,1496.74,33.13,-3.26,38,36
SV.Zulte Waregem A,18,5,8,5,25,25,0,23,1.39,1.39,1502.57,5,-16.71,1482.96,1546.49,1514.73,-63.53,14.73,26,33
K.AA.Gent A,18,6,5,7,25,27,-2,23,1.39,1.5,1467.94,3,-32.27,1495.93,1474.83,1485.38,21.1,-14.62,29,37
K.VC.Westerlo A,18,5,6,7,26,27,-1,21,1.44,1.5,1490.62,6,12.77,1515.06,1493.94,1504.5,21.12,4.5,26,33
SP du Pays de Charleroi A,18,5,5,8,19,23,-4,20,1.06,1.28,1465.55,5,8.07,1480.49,1506.78,1493.63,-26.29,-6.37,35,25
RAAL La Louviere A,18,4,7,7,14,19,-5,19,0.78,1.06,1446.54,2,-54.92,1503.04,1528.51,1515.77,-25.47,15.77,30,26
Oud-Heverlee Leuven A,18,5,4,9,19,27,-8,19,1.06,1.5,1457.48,7,11.95,1497.38,1514.26,1505.81,-16.88,5.81,51,36
Cercle Brugge K.SV. A,18,2,7,9,22,29,-7,13,1.22,1.61,1416.7,1,-48.11,1512.26,1500.05,1505.14,12.2,5.14,32,26
FC.V.Dender E.H.,18,2,6,10,15,32,-17,12,0.83,1.78,1396.05,8,27.8,1496.62,1519.4,1508.01,-22.78,8.01,27,27
